community_area,primary type,total_crimes,features,prediction
24,840,178,[24.0],4
48,2840,3,[48.0],0
9,3970,1,[9.0],2
34,925,1,[34.0],3
18,843,1,[18.0],1
16,2220,2,[16.0],1
39,4651,1,[39.0],3
5,462,3,[5.0],2
11,3910,1,[11.0],1
8,2029,1,[8.0],2
33,143B,2,[33.0],3
2,499,2,[2.0],2
27,2030,1,[27.0],4
39,2050,1,[39.0],3
42,2895,1,[42.0],0
24,843,2,[24.0],4
24,4800,2,[24.0],4
48,1840,1,[48.0],0
46,1537,1,[46.0],0
28,1725,1,[28.0],4
30,500N,3,[30.0],4
7,461,2,[7.0],2
23,5004,1,[23.0],4
36,500E,1,[36.0],3
13,4860,1,[13.0],1
24,2230,1,[24.0],4
29,4389,2,[29.0],4
0,1130,68,[0.0],2
0,2091,16,[0.0],2
0,2250,27,[0.0],2
0,2870,2,[0.0],2
0,1670,1,[0.0],2
14,840,73,[14.0],1
21,2015,1,[21.0],4
0,263,7,[0.0],2
0,1460,1,[0.0],2
22,2050,1,[22.0],4
8,1581,9,[8.0],2
49,1565,2,[49.0],0
32,1525,5,[32.0],3
35,1525,2,[35.0],3
1,1581,4,[1.0],2
37,2095,43,[37.0],3
45,3910,1,[45.0],0
37,1235,1,[37.0],3
40,110,1,[40.0],3
44,1850,1,[44.0],0
2,1507,1,[2.0],2
42,5009,1,[42.0],0
10,2092,2,[10.0],2
40,1821,2,[40.0],3
33,4800,1,[33.0],3
3,2032,1,[3.0],2
18,5132,1,[18.0],1
4,2095,1,[4.0],2
39,2015,1,[39.0],3
17,1581,5,[17.0],1
50,2032,1,[50.0],0
41,2860,1,[41.0],0
34,1205,1,[34.0],3
4,925,1,[4.0],2
47,500N,1,[47.0],0
0,2095,17,[0.0],2
20,840,167,[20.0],1
12,840,66,[12.0],1
36,1140,3,[36.0],3
18,2091,1,[18.0],1
12,2092,1,[12.0],1
4,142A,1,[4.0],2
49,1564,1,[49.0],0
27,1581,4,[27.0],4
46,583,3,[46.0],0
46,1505,1,[46.0],0
48,2018,1,[48.0],0
37,925,1,[37.0],3
22,1480,2,[22.0],4
14,483,1,[14.0],1
31,5130,1,[31.0],3
32,1752,8,[32.0],3
41,1245,1,[41.0],0
50,840,48,[50.0],0
49,1185,1,[49.0],0
1,843,2,[1.0],2
35,583,1,[35.0],3
17,482,1,[17.0],1
8,2050,1,[8.0],2
20,1590,2,[20.0],1
36,337,1,[36.0],3
45,1581,6,[45.0],0
45,1720,1,[45.0],0
6,1170,2,[6.0],2
14,475,1,[14.0],1
1,3910,1,[1.0],2
45,1205,2,[45.0],0
10,5121,1,[10.0],2
24,502T,2,[24.0],4
36,3920,1,[36.0],3
38,2020,1,[38.0],3
47,3750,1,[47.0],0
1,261,2,[1.0],2
48,4386,1,[48.0],0
9,1476,1,[9.0],2
0,1310,811,[0.0],2
0,2820,311,[0.0],2
0,630,31,[0.0],2
0,2090,6,[0.0],2
10,840,89,[10.0],2
34,843,3,[34.0],3
29,1581,6,[29.0],4
37,2870,1,[37.0],3
